Territoire;Ann�e;Emissions R�alisees (kt)
Corse;2017;729
Reunion;2017;2054
Guadeloupe;2017;1389
Martinique;2017;1002
Guyane;2017;242
Corse;2016;603
Reunion;2016;1953
Guadeloupe;2016;1456
Martinique;2016;1005
Guyane;2016;347
Corse;2015;705
Reunion;2015;1912
Guadeloupe;2015;1436
Martinique;2015;977
Guyane;2015;284
Corse;2014;552
Reunion;2014;1989
Guadeloupe;2014;1412
Martinique;2014;921
Guyane;2014;273
Corse;2018;599
Reunion;2018;1926
Guadeloupe;2018;1315
Martinique;2018;942
Guyane;2018;285
Corse;2019;723
Reunion;2019;2078
Guadeloupe;2019;1299
Martinique;2019;799
Guyane;2019;385
Corse;2020;550
R�union;2020;2008
Guadeloupe;2020;1158
Martinique;2020;838
Guyane;2020;353
Corse;2021;647
Reunion;2021;2098
Guadeloupe;2021;1055
Martinique;2021;744
Guyane;2021;263
Corse;2022;764
R�union;2022;1696
Guadeloupe;2022;1031
Martinique;2022;709
Guyane;2022;258
Corse;2023;546
Reunion;2023;1092
Guadeloupe;2023;1042
Martinique;2023;748
Guyane;2023;308
Corse;2024;660
Reunion;2024;218
Guadeloupe;2024;1150
Martinique;2024;773
Guyane;2024;497
